Gender,Height,Weight
Male,1.78,93.3
Male,1.65,71.82
Male,1.72,76.69
Male,1.61,61.53
Male,1.82,98.95
Male,1.69,70.71
Male,1.83,91.41
Male,1.93,107.01
Male,1.82,88.63
Male,1.71,80.12
Male,1.79,90.02
Male,1.77,84.24
Male,1.73,80.44
Male,1.88,97.87
Male,1.76,84.83
Male,1.69,77.83
Male,1.69,78.4
Male,1.71,76.33
Male,1.75,74.31
Male,1.8,86.19
Male,1.66,71.16
Male,1.66,78.29
Male,1.72,76.69
Male,1.87,104.95
Male,1.82,94.01
Male,1.72,78.09
Male,1.73,90.64
Male,1.67,76.24
Male,1.82,89.73
Male,1.76,89.31
Male,1.74,81.75
Male,1.8,85.79
Male,1.62,71.86
Male,1.81,94.77
Male,1.68,84.89
Male,1.65,71.48
Male,1.73,82.39
Male,1.8,92.87
Male,1.89,104.84
Male,1.76,84.49
Male,1.65,82.14
Male,1.74,90.23
Male,1.8,92.25
Male,1.56,73.04
Male,1.74,86.09
Male,1.83,90.81
Male,1.84,100.64
Male,1.81,97.1
Male,1.84,91.49
Male,1.72,84.91
Male,1.84,89.14
Male,1.59,68.82
Male,1.68,75.88
Male,1.77,90.19
Male,1.76,81.1
Male,1.8,87.79
Male,1.75,89.69
Male,1.68,83.67
Male,1.69,70.4
Male,1.69,73.02
Male,1.73,85.77
Male,1.79,78.47
Male,1.76,88.86
Male,1.8,97.86
Male,1.66,75.62
Male,1.9,108.62
Male,1.81,83.59
Male,1.76,90.71
Male,1.78,86.82
Male,1.64,76.71
Male,1.72,88.33
Male,1.72,83.13
Male,1.9,95.42
Male,1.81,89.83
Male,1.7,78.32
Male,1.77,89.39
Male,1.74,86.41
Male,1.73,83.71
Male,1.74,81.61
Male,1.66,72.35
Male,1.78,89.76
Male,1.81,98.55
Male,1.74,85.23
Male,1.66,80.22
Male,1.72,83.98
Male,1.89,101.29
Male,1.81,93.87
Male,1.71,77.57
Male,1.72,79.48
Male,1.71,78.61
Male,1.75,82.16
Male,1.82,91.9
Male,1.76,90.65
Male,1.87,101.38
Male,1.76,99.46
Male,1.8,95.81
Male,1.82,91.08
Male,1.76,94.71
Male,1.66,73.22
Male,1.8,94.27
Male,1.74,82.02
Male,1.74,80.2
Male,1.76,88.27
Male,1.67,73.94
Male,1.74,78.59
Male,1.88,97.8
Male,1.81,95.32
Male,1.69,83.93
Male,1.82,85.26
Male,1.77,85.36
Male,1.7,81.44
Male,1.77,96.03
Male,1.79,89.67
Male,1.75,84.5
Male,1.64,75.34
Male,1.8,85.64
Male,1.64,73.2
Male,1.77,87.76
Male,1.82,85.86
Male,1.74,94.25
Male,1.8,90.41
Male,1.81,95.19
Male,1.76,81.73
Male,1.83,89.0
Male,1.76,85.93
Male,1.68,75.08
Male,1.71,82.73
Male,1.8,85.98
Male,1.76,86.01
Male,1.71,77.2
Male,1.85,98.02
Male,1.79,80.32
Male,1.75,88.93
Male,1.7,76.07
Male,1.76,81.47
Male,1.86,100.09
Male,1.71,74.52
Male,1.65,71.01
Male,1.72,83.32
Male,1.72,77.25
Male,1.69,76.49
Male,1.85,95.09
Male,1.77,88.61
Male,1.8,88.14
Male,1.78,99.5
Male,1.82,93.06
Male,1.72,81.14
Male,1.73,82.43
Male,1.74,92.33
Male,1.75,74.91
Male,1.75,89.78
Male,1.71,78.6
Male,1.75,83.44
Male,1.67,63.29
Male,1.64,72.66
Male,1.68,74.21
Male,1.7,87.98
Male,1.7,86.13
Male,1.8,83.56
Male,1.74,86.54
Male,1.72,85.37
Male,1.92,102.61
Male,1.79,89.76
Male,1.75,86.42
Male,1.73,79.94
Male,1.65,80.62
Male,1.67,78.79
Male,1.76,95.46
Male,1.67,77.16
Male,1.72,78.68
Male,1.76,83.89
Male,1.73,88.13
Male,1.57,67.65
Male,1.71,87.3
Male,1.72,81.53
Male,1.78,92.02
Male,1.66,74.1
Male,1.83,98.44
Male,1.68,83.08
Male,1.67,75.56
Male,1.85,93.1
Male,1.8,86.05
Male,1.81,99.15
Male,1.8,92.14
Male,1.57,63.46
Male,1.75,89.04
Male,1.72,81.62
Male,1.71,74.46
Male,1.67,76.28
Male,1.74,86.07
Male,1.77,88.53
Male,1.69,86.39
Male,1.77,92.73
Male,1.74,88.97
Male,1.82,95.11
Male,1.77,86.61
Male,1.8,89.79
Male,1.73,84.72
Male,1.79,85.58
Male,1.82,80.0
Male,1.85,94.95
Male,1.54,61.76
Male,1.75,86.61
Male,1.76,86.84
Male,1.72,83.89
Male,1.93,105.38
Male,1.83,91.53
Male,1.75,85.42
Male,1.66,79.22
Male,1.67,83.44
Male,1.79,85.06
Male,1.86,97.0
Male,1.74,79.48
Male,1.74,76.9
Male,1.62,65.59
Male,1.71,79.69
Male,1.8,89.45
Male,1.87,101.12
Male,1.68,75.03
Male,1.72,77.3
Male,1.81,98.26
Male,1.7,78.79
Male,1.86,98.84
Male,1.62,73.03
Male,1.76,87.89
Male,1.77,80.34
Male,1.79,92.91
Male,1.75,80.16
Male,1.74,87.44
Male,1.68,75.73
Male,1.76,84.7
Male,1.75,85.5
Male,1.87,94.51
Male,1.68,73.25
Male,1.87,97.51
Male,1.77,93.05
Male,1.69,83.1
Male,1.85,94.75
Male,1.73,94.31
Male,1.83,95.56
Male,1.8,92.66
Male,1.7,88.54
Male,1.74,86.49
Male,1.81,90.55
Male,1.65,75.67
Male,1.7,81.1
Male,1.75,84.26
Male,1.75,87.89
Male,1.81,103.78
Male,1.75,87.25
Male,1.69,79.82
Male,1.74,79.9
Male,1.71,80.5
Male,1.81,91.52
Male,1.74,80.21
Male,1.77,84.15
Male,1.77,85.29
Male,1.84,85.9
Male,1.66,75.34
Male,1.68,77.22
Male,1.78,96.53
Male,1.81,88.97
Male,1.78,91.75
Male,1.81,91.32
Male,1.64,71.87
Male,1.75,79.15
Male,1.74,83.36
Male,1.76,85.32
Male,1.76,79.92
Male,1.77,88.09
Male,1.85,88.09
Male,1.58,66.18
Male,1.75,87.01
Male,1.81,95.19
Male,1.83,91.29
Male,1.83,94.7
Male,1.71,82.86
Male,1.73,75.49
Male,1.8,87.72
Male,1.66,80.94
Male,1.78,93.41
Male,1.82,90.36
Male,1.73,87.1
Male,1.74,79.5
Male,1.68,77.11
Male,1.82,93.14
Male,1.87,88.92
Male,1.81,94.41
Male,1.8,92.03
Male,1.82,85.55
Male,1.61,73.68
Male,1.73,82.94
Male,1.67,71.36
Male,1.74,81.05
Male,1.77,84.92
Male,1.75,77.85
Male,1.78,90.96
Male,1.75,87.96
Male,1.63,70.53
Male,1.79,87.33
Male,1.74,72.51
Male,1.77,79.95
Male,1.75,77.89
Male,1.71,82.42
Male,1.68,77.74
Male,1.74,81.25
Male,1.76,85.03
Male,1.77,82.56
Male,1.85,97.28
Male,1.91,94.59
Male,1.8,86.28
Male,1.89,98.49
Male,1.63,70.79
Male,1.81,93.61
Male,1.71,80.81
Male,1.89,103.8
Male,1.62,79.14
Male,1.75,74.49
Male,1.83,96.23
Male,1.74,93.45
Male,1.65,75.95
Male,1.76,88.55
Male,1.83,94.88
Male,1.71,82.69
Male,1.76,86.27
Male,1.62,72.73
Male,1.54,58.65
Male,1.79,88.73
Male,1.72,84.71
Male,1.9,103.19
Male,1.79,89.44
Male,1.83,95.05
Male,1.88,95.15
Male,1.8,99.99
Male,1.64,76.75
Male,1.74,84.3
Male,1.82,87.4
Male,1.7,80.3
Male,1.8,90.69
Male,1.66,76.53
Male,1.57,56.03
Male,1.59,72.68
Male,1.72,89.4
Male,1.77,73.47
Male,1.84,91.47
Male,1.79,88.35
Male,1.69,73.74
Male,1.81,79.75
Male,1.82,94.97
Male,1.86,92.74
Male,1.75,95.65
Male,1.68,76.81
Male,1.88,101.3
Male,1.76,87.52
Male,1.76,78.43
Male,1.8,86.9
Male,1.61,71.27
Male,1.77,82.91
Male,1.66,68.89
Male,1.78,87.7
Male,1.77,84.11
Male,1.81,88.62
Male,1.79,79.01
Male,1.67,74.68
Male,1.71,74.32
Male,1.67,79.25
Male,1.87,96.57
Male,1.72,78.38
Male,1.66,78.01
Male,1.81,88.87
Male,1.67,79.29
Male,1.67,79.18
Male,1.57,63.63
Male,1.88,97.78
Male,1.84,97.91
Male,1.79,83.57
Male,1.7,76.3
Male,1.67,68.67
Male,1.71,84.35
Male,1.78,92.19
Male,1.9,101.58
Male,1.64,67.35
Male,1.78,93.98
Male,1.82,93.07
Male,1.85,94.99
Male,1.86,90.34
Male,1.69,74.87
Male,1.69,81.99
Male,1.76,91.76
Male,1.73,88.57
Male,1.79,83.57
Male,1.77,85.48
Male,1.66,71.31
Male,1.76,89.15
Male,1.87,94.51
Male,1.67,71.75
Male,1.74,83.73
Male,1.79,89.77
Male,1.83,92.02
Male,1.82,90.3
Male,1.67,70.86
Male,1.62,76.34
Male,1.79,91.4
Male,1.67,79.19
Male,1.77,89.33
Male,1.74,89.7
Male,1.72,75.13
Male,1.91,105.64
Male,1.86,87.42
Male,1.77,87.17
Male,1.64,71.27
Male,1.72,74.16
Male,1.86,93.06
Male,1.69,77.76
Male,1.88,94.78
Male,1.8,95.15
Male,1.82,93.56
Male,1.67,80.38
Male,1.78,96.03
Male,1.57,67.82
Male,1.9,99.94
Male,1.82,87.28
Male,1.71,74.11
Male,1.8,90.62
Male,1.91,99.15
Male,1.86,101.24
Male,1.79,98.86
Male,1.71,77.66
Male,1.7,66.92
Male,1.77,77.13
Male,1.66,72.95
Male,1.74,83.97
Male,1.75,80.32
Male,1.73,85.68
Male,1.76,72.23
Male,1.74,85.31
Male,1.67,68.47
Male,1.76,78.17
Male,1.68,75.46
Male,1.8,84.52
Male,1.68,85.12
Male,1.65,74.33
Male,1.74,89.33
Male,1.77,86.05
Male,1.69,85.72
Male,1.76,80.44
Male,1.75,83.52
Male,1.87,100.35
Male,1.94,98.83
Male,1.81,90.35
Male,1.64,74.62
Male,1.69,74.06
Male,1.76,85.11
Male,1.61,68.2
Male,1.77,91.95
Male,1.74,82.43
Male,1.82,93.71
Male,1.77,92.53
Male,1.87,105.06
Male,1.73,88.54
Male,1.84,90.85
Male,1.8,88.61
Male,1.79,85.32
Male,1.75,88.3
Male,1.76,89.54
Male,1.71,70.95
Male,1.82,94.24
Male,1.75,77.98
Male,1.81,98.39
Male,1.78,86.45
Male,1.8,93.49
Male,1.74,91.22
Male,1.81,93.71
Male,1.66,72.12
Male,1.8,94.45
Male,1.77,85.19
Male,1.62,76.36
Male,1.79,89.28
Male,1.79,93.22
Male,1.71,74.65
Male,1.7,75.84
Male,1.74,76.66
Male,1.77,83.56
Male,1.59,76.27
Male,1.76,83.52
Male,1.7,78.1
Male,1.91,99.16
Male,1.78,86.03
Male,1.81,89.25
Male,1.77,82.43
Male,1.69,79.56
Male,1.8,94.67
Male,1.62,73.79
Male,1.79,86.78
Male,1.71,87.39
Male,1.81,96.77
Male,1.74,85.0
Male,1.81,92.28
Male,1.8,86.18
Male,1.81,89.5
Male,1.79,87.71
Male,1.89,102.83
Male,1.61,84.0
Male,1.74,77.71
Male,1.71,79.44
Male,1.8,89.0
Male,1.7,88.34
Male,1.72,83.67
Male,1.74,81.45
Male,1.74,87.36
Male,1.79,89.51
Male,1.7,74.47
Male,1.66,75.9
Male,1.78,84.31
Male,1.74,87.99
Male,1.8,93.38
Male,1.93,106.79
Male,1.73,80.27
Male,1.77,90.28
Male,1.77,91.04
Male,1.82,97.06
Male,1.8,91.47
Male,1.66,65.38
Male,1.8,91.9
Male,1.73,83.44
Male,1.79,90.52
Male,1.76,79.85
Male,1.82,88.42
Male,1.78,92.31
Male,1.69,75.61
Male,1.79,94.12
Male,1.59,69.33
Male,1.69,66.33
Male,1.66,71.11
Male,1.82,95.24
Male,1.76,83.42
Male,1.78,91.08
Male,1.67,74.49
Male,1.64,70.14
Male,1.74,85.93
Male,1.77,80.1
Male,1.71,78.59
Male,1.73,84.03
Male,1.77,92.45
Male,1.67,82.58
Male,1.86,91.49
Male,1.69,80.67
Male,1.76,91.91
Male,1.68,84.47
Male,1.71,84.12
Male,1.66,79.76
Male,1.86,95.07
Male,1.74,81.36
Male,1.68,75.01
Male,1.84,89.93
Male,1.72,83.88
Male,1.79,90.83
Male,1.81,90.47
Male,1.76,91.78
Male,1.78,91.62
Male,1.76,89.52
Male,1.61,71.22
Male,1.72,83.16
Male,1.86,92.09
Male,1.86,87.96
Male,1.8,88.72
Male,1.83,97.46
Male,1.83,83.53
Male,1.81,87.88
Male,1.68,77.16
Male,1.84,93.3
Male,1.73,75.42
Male,1.81,90.0
Male,1.67,76.96
Male,1.7,72.6
Male,1.83,92.96
Male,1.6,67.09
Male,1.77,82.08
Male,1.79,98.81
Male,1.73,85.89
Male,1.77,79.87
Male,1.58,59.09
Male,1.67,72.27
Male,1.8,87.08
Male,1.77,82.62
Male,1.71,85.43
Male,1.72,86.98
Male,1.69,73.83
Male,1.77,89.63
Male,1.65,82.82
Male,1.88,90.72
Male,1.73,83.65
Male,1.7,75.06
Male,1.75,80.13
Male,1.94,103.82
Male,1.75,81.81
Male,1.87,102.5
Male,1.77,86.1
Male,1.83,91.74
Male,1.79,81.16
Male,1.7,75.77
Male,1.68,78.31
Male,1.74,81.63
Male,1.69,72.64
Male,1.77,80.92
Male,1.68,70.12
Male,1.85,94.73
Male,1.64,76.85
Male,1.77,82.39
Male,1.79,92.46
Male,1.84,83.66
Male,1.73,90.58
Male,1.85,93.73
Male,1.79,89.17
Male,1.78,86.18
Male,1.75,89.25
Male,1.87,100.83
Male,1.73,81.68
Male,1.73,80.94
Male,1.82,91.97
Male,1.86,100.22
Male,1.77,90.1
Male,1.78,92.41
Male,1.68,68.11
Male,1.94,103.03
Male,1.8,84.71
Male,1.69,77.3
Male,1.68,82.75
Male,1.79,85.04
Male,1.66,71.97
Male,1.7,79.74
Male,1.87,100.14
Male,1.78,88.79
Male,1.77,85.74
Male,1.7,69.91
Male,1.75,81.37
Male,1.74,78.11
Male,1.79,86.39
Male,1.83,94.39
Male,1.8,87.04
Male,1.79,89.53
Male,1.72,86.04
Male,1.74,94.38
Male,1.76,85.6
Male,1.72,85.01
Male,1.81,98.84
Male,1.81,91.55
Male,1.8,92.82
Male,1.64,65.02
Male,1.71,82.57
Male,1.84,91.67
Male,1.78,87.45
Male,1.64,72.08
Male,1.89,96.83
Male,1.66,73.85
Male,1.85,96.24
Male,1.67,70.39
Male,1.75,88.31
Male,1.86,95.02
Male,1.77,89.96
Male,1.77,81.49
Male,1.82,87.4
Male,1.7,81.56
Male,1.72,86.41
Male,1.76,88.97
Male,1.75,82.02
Male,1.75,84.66
Male,1.69,76.11
Male,1.69,81.41
Male,1.75,82.26
Male,1.67,73.22
Male,1.59,67.93
Male,1.69,73.12
Male,1.71,84.99
Male,1.77,79.84
Male,1.89,108.21
Male,1.81,94.82
Male,1.8,88.36
Male,1.72,74.26
Male,1.7,82.79
Male,1.69,79.42
Male,1.7,82.05
Male,1.75,78.31
Male,1.83,94.15
Male,1.79,88.0
Male,1.76,85.22
Male,1.7,73.13
Male,1.96,103.74
Male,1.73,80.04
Male,1.7,84.82
Male,1.88,99.08
Male,1.77,83.74
Male,1.79,90.43
Male,1.68,74.68
Male,1.83,87.74
Male,1.68,77.6
Male,1.85,98.68
Male,1.77,85.3
Male,1.75,80.82
Male,1.62,68.94
Male,1.65,65.85
Male,1.65,66.98
Male,1.75,83.21
Male,1.78,80.9
Male,1.59,69.32
Male,1.7,78.76
Male,1.71,81.66
Male,1.83,90.87
Male,1.77,77.25
Male,1.66,75.63
Male,1.88,88.35
Male,1.55,69.3
Male,1.74,93.63
Male,1.62,74.74
Male,1.74,82.18
Male,1.65,83.92
Male,1.77,95.04
Male,1.81,89.51
Male,1.6,67.41
Male,1.8,91.27
Male,1.77,90.35
Male,1.7,85.48
Male,1.71,80.88
Male,1.76,78.67
Male,1.89,99.08
Male,1.69,78.65
Male,1.71,84.51
Male,1.68,74.92
Male,1.71,92.14
Male,1.73,73.33
Male,1.68,74.6
Male,1.67,77.47
Male,1.75,77.25
Male,1.79,87.32
Male,1.69,75.46
Male,1.82,89.15
Male,1.78,83.29
Male,1.74,84.95
Male,1.75,80.87
Male,1.87,100.88
Male,1.75,86.45
Male,1.86,92.58
Male,1.74,87.18
Male,1.65,81.38
Male,1.68,87.44
Male,1.72,76.99
Male,1.82,87.46
Male,1.76,84.25
Male,1.71,85.54
Male,1.77,81.5
Male,1.63,73.71
Male,1.71,83.18
Male,1.86,100.45
Male,1.72,85.68
Male,1.74,87.01
Male,1.8,97.19
Male,1.73,82.73
Male,1.72,74.36
Male,1.87,90.02
Male,1.75,85.0
Male,1.69,79.81
Male,1.78,85.56
Male,1.72,91.07
Male,1.89,95.23
Male,1.83,91.56
Male,1.77,82.91
Male,1.82,93.51
Male,1.71,77.96
Male,1.74,77.71
Male,1.98,115.98
Male,1.74,81.11
Male,1.78,84.53
Male,1.89,100.17
Male,1.83,91.69
Male,1.72,87.58
Male,1.69,71.34
Male,1.65,81.99
Male,1.76,93.67
Male,1.72,81.65
Male,1.73,87.99
Male,1.84,92.36
Male,1.88,96.04
Male,1.86,91.22
Male,1.85,96.25
Male,1.73,76.16
Male,1.78,93.93
Male,1.82,84.3
Male,1.74,78.4
Male,1.78,83.79
Male,1.7,82.72
Male,1.72,85.42
Male,1.72,76.51
Male,1.71,78.69
Male,1.7,80.77
Male,1.68,78.95
Male,1.72,87.12
Male,1.81,86.72
Male,1.78,86.0
Male,1.87,95.36
Male,1.69,72.29
Male,1.73,86.13
Male,1.73,79.91
Male,1.67,80.42
Male,1.7,77.26
Male,1.68,75.27
Male,1.86,105.35
Male,1.76,93.84
Male,1.82,90.88
Male,1.62,74.05
Male,1.83,85.69
Male,1.83,94.14
Male,1.73,78.68
Male,1.75,86.12
Male,1.71,77.06
Male,1.62,72.93
Male,1.82,95.71
Male,1.79,87.93
Male,1.85,98.58
Male,1.73,80.17
Male,1.77,92.22
Male,1.6,75.09
Male,1.82,96.04
Male,1.82,91.4
Male,1.8,91.03
Male,1.78,85.97
Male,1.79,93.67
Male,1.74,78.61
Male,1.81,100.3
Male,1.71,77.03
Male,1.86,99.69
Male,1.8,82.96
Male,1.83,89.85
Male,1.87,98.26
Male,1.77,92.2
Male,1.79,84.03
Male,1.68,67.25
Male,1.78,87.23
Male,1.8,93.68
Male,1.79,82.46
Male,1.82,96.49
Male,1.8,88.89
Male,1.69,70.37
Male,1.85,94.12
Male,1.69,82.53
Male,1.69,74.44
Male,1.69,84.06
Male,1.76,80.82
Male,1.74,80.93
Male,1.67,73.49
Male,1.78,98.62
Male,1.75,86.09
Male,1.8,89.46
Male,1.7,80.91
Male,1.74,80.76
Male,1.8,83.91
Male,1.6,69.67
Male,1.78,100.65
Male,1.72,79.63
Male,1.81,90.19
Male,1.78,85.86
Male,1.67,75.42
Male,1.82,91.86
Male,1.82,99.91
Male,1.81,96.77
Male,1.76,77.71
Male,1.78,86.89
Male,1.83,91.04
Male,1.82,94.69
Male,1.76,78.37
Male,1.81,85.66
Male,1.7,85.08
Male,1.93,101.8
Male,1.73,77.24
Male,1.76,89.49
Male,1.81,88.62
Male,1.79,90.0
Male,1.83,89.06
Male,1.85,88.61
Male,1.85,97.03
Male,1.82,91.32
Male,1.9,103.17
Male,1.71,71.23
Male,1.79,87.21
Male,1.66,76.87
Male,1.77,89.65
Male,1.82,97.95
Male,1.75,78.6
Male,1.65,73.94
Male,1.78,94.62
Male,1.8,91.64
Male,1.85,104.21
Male,1.83,91.9
Male,1.88,102.98
Male,1.67,75.5
Male,1.8,84.87
Male,1.73,82.12
Male,1.71,79.54
Male,1.8,89.69
Male,1.62,75.51
Male,1.7,75.5
Male,1.79,84.94
Male,1.79,84.4
Male,1.79,93.01
Male,1.76,85.94
Male,1.89,95.32
Male,1.7,84.46
Male,1.87,93.66
Male,1.75,85.83
Male,1.72,76.55
Male,1.6,65.39
Male,1.75,85.08
Male,1.77,87.83
Male,1.77,84.07
Male,1.76,85.39
Male,1.7,75.37
Male,1.81,91.79
Male,1.72,86.88
Male,1.69,73.49
Male,1.7,79.81
Male,1.77,87.71
Male,1.84,87.4
Male,1.76,84.45
Male,1.75,89.82
Male,1.66,76.08
Male,1.74,90.72
Male,1.83,90.71
Male,1.87,98.53
Male,1.79,88.13
Male,1.75,86.42
Male,1.87,107.4
Male,1.74,82.2
Male,1.63,68.78
Male,1.73,77.44
Male,1.8,89.53
Male,1.82,90.85
Male,1.71,71.87
Male,1.73,84.56
Male,1.66,75.59
Male,1.8,92.88
Male,1.71,79.19
Male,1.72,81.0
Male,1.74,84.09
Male,1.84,88.32
Male,1.66,72.4
Male,1.67,73.79
Male,1.76,81.71
Male,1.73,77.98
Male,1.82,87.05
Male,1.87,99.57
Male,1.71,79.97
Male,1.83,97.72
Male,1.74,88.05
Male,1.66,75.8
Male,1.68,75.33
Male,1.78,98.26
Male,1.69,77.69
Male,1.85,92.76
Male,1.9,95.13
Male,1.67,85.07
Male,1.69,73.73
Male,1.73,83.59
Male,1.77,86.8
Male,1.66,70.77
Male,1.69,82.2
Male,1.73,91.57
Male,1.75,77.19
Male,1.78,87.11
Male,1.81,80.98
Male,1.81,84.29
Male,1.74,81.95
Male,1.75,80.72
Male,1.7,85.09
Male,1.75,89.65
Male,1.74,88.51
Male,1.68,82.98
Male,1.64,71.22
Male,1.73,78.25
Male,1.64,68.06
Male,1.78,92.15
Male,1.69,74.53
Male,1.83,84.45
Male,1.64,71.84
Male,1.89,101.53
Male,1.81,86.22
Male,1.66,71.7
Male,1.73,77.56
Male,1.64,70.61
Male,1.77,86.87
Male,1.84,103.86
Male,1.69,74.8
Male,1.74,80.82
Male,1.77,90.49
Male,1.85,95.78
Male,1.76,92.09
Male,1.76,84.08
Male,1.67,67.69
Male,1.82,97.19
Male,1.69,72.74
Male,1.69,81.86
Male,1.79,89.37
Male,1.73,84.46
Male,1.67,75.11
Male,1.76,91.31
Male,1.85,91.32
Male,1.72,86.51
Male,1.78,87.58
Male,1.81,96.76
Male,1.82,95.24
Male,1.76,82.2
Male,1.73,77.4
Male,1.83,104.11
Male,1.81,90.6
Male,1.84,91.36
Male,1.53,60.85
Male,1.79,86.01
Male,1.82,87.59
Male,1.79,84.13
Male,1.86,93.85
Male,1.58,79.41
Male,1.75,80.08
Male,1.82,94.97
Male,1.79,93.31
Male,1.65,70.23
Male,1.73,89.11
Male,1.75,79.92
Male,1.8,90.16
Male,1.64,68.12
Male,1.8,81.3
Male,1.75,84.84
Male,1.66,64.68
Male,1.66,74.22
Male,1.78,84.11
Male,1.7,76.6
Male,1.71,74.96
Male,1.74,74.62
Male,1.72,84.41
Male,1.69,75.07
Male,1.78,87.98
Male,1.74,87.77
Male,1.8,92.73
Male,1.9,100.32
Male,1.69,78.63
Male,1.68,77.7
Male,1.7,77.15
Male,1.83,92.79
